"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Integrating Cyber-Physical System with Federated-Edge Computing for Diabetes Detection and Management","https://scispace.com/paper/integrating-cyber-physical-system-with-federated-edge-24vkrw38dq","2023","Journal Article","","Heba M. Khater
Asadullah Tariq
Farag Sallabi
Mohamed Adel Serhani
Ezedin Barka","10.1145/3633624.3633627","","- **Relevance Score:** 85/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses federated-edge computing and multiple ML models for type‑2 diabetes detection; applies AI directly to PIMA diabetes data; includes privacy‑preserving FL but lacks multimodal, imaging, bias or transfer‑learning components.","Diabetes mellitus is a significant global health issue that affects millions of people. As a result, it is crucial to prioritize preventative and management strategies for this disease. In this paper, an intelligent cyber-physical system is suggested for the detection and management of type 2 diabetes. The proposed approach introduces a federated-edge computing framework, which combines the advantages of cloud computing while addressing concerns related to latency, security, and communication overhead. The architecture integrates knowledge from different Machine Learning (ML) models developed at the edge by utilizing distillation and ensemble methodologies along with the support for heterogeneous data with varied optimal aggregated models. Capitalizing on Federated Learning (FL), this process enables a Hybrid Federated Learning strategy for optimal model combination. We implementing a variety of data preprocessing methods and feature selection algorithms to pinpoint the most advantageous features for the ML models. The models used include the Support Vector Machine (SVM), Artificial Neural Network (ANN), Case-Based Reasoning with Fuzzy K-Nearest Neighbor (CBR-FKNN), and K-means combined with Logistic Regression (K-Means-LR). The efficacy of our proposed system was assessed through an experimental evaluation using the PIMA dataset. "
"Semantic segmentation of retinal exudates using a residual encoder-decoder architecture in diabetic retinopathy.","https://scispace.com/paper/semantic-segmentation-of-retinal-exudates-using-a-residual-ogvv5zdl","2023","Journal Article","Microscopy Research and Technique","Malik A. Manan
Feng Jinchao
Tariq M. Khan
Muhammad Yaqub
Shahzad Ahmed","10.1002/jemt.24345","","- **Relevance Score:** 85/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses a residual CNN to segment retinal exudates for diabetic retinopathy screening, achieving high accuracy on benchmark image datasets; limited discussion of interpretability or fairness.","Exudates are a common sign of diabetic retinopathy, which is a disease that affects the blood vessels in the retina. Early detection of exudates is critical to avoiding vision problems through continuous screening and treatment. In traditional clinical practice, the involved lesions are manually detected using photographs of the fundus. However, this task is cumbersome and time-consuming and requires intense effort due to the small size of the lesion and the low contrast of the images. Thus, computer-assisted diagnosis of retinal disease based on the detection of red lesions has been actively explored recently. In this paper, we present a comparison of deep convolutional neural network (CNN) architectures and propose a residual CNN with residual skip connections to reduce the parameter for the semantic segmentation of exudates in retinal images. A suitable image augmentation technique is used to improve the performance of network architecture. The proposed network can robustly segment exudates with high accuracy, which makes it suitable for diabetic retinopathy screening. A comparative performance analysis of three benchmark databases: E-ophtha, DIARETDB1, and Hamilton Ophthalmology Institute's Macular Edema, is presented. The proposed method achieves a precision of 0.95, 0.92, 0.97, accuracy of 0.98, 0.98, 0.98, sensitivity of 0.97, 0.95, 0.95, specificity of 0.99, 0.99, 0.99, and area under the curve of 0.97, 0.94, and 0.96, respectively. RESEARCH HIGHLIGHTS: The research focuses on the detection and segmentation of exudates in diabetic retinopathy, a disease affecting the retina. Early detection of exudates is important to avoid vision problems and requires continuous screening and treatment. Currently, manual detection is time-consuming and requires intense effort. The authors compare qualitative results of the state-of-the-art convolutional neural network (CNN) architectures and propose a computer-assisted diagnosis approach based on deep learning, using a residual CNN with residual skip connections to reduce parameters. The proposed method is evaluated on three benchmark databases and demonstrates high accuracy and suitability for diabetic retinopathy screening."
"Machine-Learning-Based Diabetes Prediction Using Multisensor Data","https://scispace.com/paper/machine-learning-based-diabetes-prediction-using-multisensor-3kstivpw5s","2023","Journal Article","IEEE Sensors Journal","Aditi Site
Jari Nurmi
Elena Simon Lohan","10.1109/jsen.2023.3319360","","- **Relevance Score:** 85/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses XGBoost on glucose, ECG, and accelerometer data for diabetes prediction, achieving 98.2% accuracy; demonstrates multimodal sensor fusion but lacks interpretability, privacy, or imaging components.","Diabetes is one such chronic disease that, if undetected, can result in several adverse symptoms or diseases. It requires continuous and active monitoring, for example, by using various smartphone sensors, wearable/smart watches, etc. These devices are minimally invasive in nature and can also track various physiological signals, which are important for the prediction of diabetes. Machine-learning algorithms and artificial intelligence are some of the most important tools used for the prediction/detection of diabetes using different types of physiological signals. In this study, we have focused on using multiple sensors such as glucose, electrocardiogram (ECG), accelerometer (ACC), and breathing sensors for classifying patients with diabetes disease. We analyzed whether a single sensor or multiple sensors can predict diabetes well. We identified various time-domain and interval-based features that are used for predicting diabetes and also the optimal window size for the feature calculation. We found that a multisensor combination using glucose, ECG, and ACC sensors gives the highest prediction accuracy of 98.2% with the extreme gradient boosting (XGBoost) algorithm. Moreover, multisensor prediction shows nearly 4%–5% increase in the diabetes prediction rates as compared to single sensors. We observed that breathing-sensor-related data have very little influence on the prediction of diabetes. We also used the score-fit-times curve as one of the metrics for the evaluation of models. From the performance curves, we observed that three-sensor combinations using glucose, ECG, and ACC converge faster as compared to a four-sensor combination while achieving with same accuracy."
"Automated diagnostic classification of diabetic retinopathy with microvascular structure of fundus images using deep learning method","https://scispace.com/paper/automated-diagnostic-classification-of-diabetic-retinopathy-11fj4u9uf5","","Journal Article","Biomedical Signal Processing and Control","G. Sivapriya
R. Manjula Devi
P. Keerthika
V. S. K. Praveen","10.1016/j.bspc.2023.105616","","- **Relevance Score:** 85/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses U‑Net and ResEAD2Net for vessel segmentation, then ML classifier for DR grading on fundus images; directly tackles diabetic retinopathy detection, but lacks explicit interpretability, bias analysis, or federated learning components.","Multi-class classification is a major concern in the research field, especially in medical image analysis. This work proposes a novel method for automatically segmenting the blood vessels and classifying Diabetic Retinopathy (DR) using fundus images. This system helps ophthalmologists with the early detection and grading of DR diseases. The main aim here is to detect any pathological changes happening in the retinal vascular structure for the development of DR, through which the patients can avoid undergoing expensive scans. The proposed system involves three different stages, including pre-processing, vessel segmentation, and classification. The input images are processed first to eliminate the noise, followed by green channel extraction and enhancement with Contrast Limited Adaptive Histogram Equalization (CLAHE) and gamma correction. Retinal Vascular Structure (RVS) segmentation is a major concern in this work as it is responsible for detecting the different stages of DR by detecting the presence of microaneurysms, haemorrhages, and exudates. The U-Net is used as a base architecture to develop the segmentation model. The contracting path in the U-Net contains four consecutive downsampling and upsampling layers with skip connections. After performing downsampling four times, information on the tiny blood vessels may be missed. Therefore, ResEAD2Net is introduced in this work, where the number of downsampling and upsampling layers is reduced to two instead of four, and two such contracting paths and expansion paths are added to the network. Thus, detailed semantic information can be retained with this structure. Residual blocks are included instead of convolution blocks to increase the computational speed. To include structural connectivity, the segmented output is passed through the proposed Regularized Random Walker (RRW) algorithm, which focuses on the broken blood vessels. Finally, the features are extracted from the vessel structure and passed through the Machine Learning (ML) classifier to predict the DR grading. The proposed method achieves better performance in segmentation with accuracy, sensitivity, specificity, and area under the curve values of 98.07%, 90.24%, 99.01%, and 97.51%, respectively, for the STARE dataset and 97.55, 90.07, 98.01, and 97.64, respectively, for the DRIVE dataset. It is also found that the features obtained from the segmentation and ML classifier outperforms the existing methods in multiclass classification by achieving accuracy, sensitivity, and specificity of 98.88%, 98.91%, and 98.29% with the Messidor-2 dataset. "
"CGM Data Analysis 2.0: Functional Data Pattern Recognition and Artificial Intelligence Applications","https://scispace.com/paper/cgm-data-analysis-2-0-functional-data-pattern-recognition-nbc79zldd9gh","2025","Journal Article","Journal of diabetes science and technology","David C. Klonoff
Richard M. Bergenstal
Eda Cengiz
Mark A. Clements
Daniel Espes
Juan Espinoza
David Kerr
Boris Kovatchev
David M. Maahs
Julia K. Mader
Nestoras Mathioudakis
Ahmed A. Metwally
Shahid N. Shah
Bin Sheng
M Snyder
Guillermo E. Umpierrez
M. Shao
Agatha F. Scheideman
Alessandra T. Ayers
Cindy Ho
Elizabeth Healey","10.1177/19322968251353228","https://scispace.compdf/cgm-data-analysis-2-0-functional-data-pattern-recognition-nbc79zldd9gh.pdf","- **Relevance Score:** 85/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses deep learning (RNN, CNN, transformers) and explainable AI for CGM pattern analysis, directly applying models to diabetes decision support and risk stratification, but lacks multimodal, federated, imaging, bias, or transfer‑learning components.","New methods of continuous glucose monitoring (CGM) data analysis are emerging that are valuable for interpreting CGM patterns and underlying metabolic physiology. These new methods use functional data analysis and artificial intelligence (AI), including machine learning (ML). Compared to traditional metrics for evaluating CGM tracing results (CGM Data Analysis 1.0), these new methods, which we refer to as CGM Data Analysis 2.0, can provide a more detailed understanding of glucose fluctuations and trends and enable more personalized and effective diabetes management strategies once translated into practical clinical solutions. "
"Optimizing Diabetes Prediction: An Evaluation of Machine Learning Models Through Strategic Feature Selection","https://scispace.com/paper/optimizing-diabetes-prediction-an-evaluation-of-machine-me8nw7cqg67v","2024","Journal Article","JOURNAL OF CURRENT SCIENCE AND TECHNOLOGY","Suejit Pechprasarn
Nichapa Srisaranon
Panpatchanan Yimluean","10.59796/jcst.v15n1.2025.75","https://scispace.compdf/optimizing-diabetes-prediction-an-evaluation-of-machine-me8nw7cqg67v.pdf","- **Relevance Score:** 85/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses multiple ML models (including neural network) to predict diabetes from BRFSS data, emphasizes interpretability and feature reduction, but lacks multimodal, federated, imaging, bias, or transfer learning components.","Diabetes, a widespread chronic ailment in the United States, imposes significant economic and health burdens, impacting quality of life and life expectancy. This study analyzes a clinical dataset of 253,680 patients from the Behavioral Risk Factor Surveillance System (BRFSS). The dataset encompasses 21 predictors, including high blood pressure, cholesterol, body mass index (BMI), smoking, stroke, heart disease, physical activity, fruit consumption, vegetable consumption, alcohol consumption, insurance coverage, lack of medical visits due to financial constraints, general health, days with mental health issues, days with physical injuries in the past 30 days, difficulties in walking, gender, age, income, and education level. The objective is to balance the training dataset, compare different supervised machine learning models, and identify critical clinical features contributing to diabetes using unsupervised feature selection methods. A total of 34 machine learning models in MATLAB2023a were trained and compared. Quadratic Support Vector Machine (SVM), Coarse Gaussian SVM, and Narrow Neural Networks achieved the highest training accuracy (76.3%), while the Bilayered Neural Network attained 74.7% on an unseen test dataset. Among all, Quadratic SVM demonstrated the best overall performance based on average accuracy, precision, recall, and F1 score. Feature selection highlighted nine key predictors: high blood pressure, high cholesterol, BMI, heart disease, physical activity, general health, recent bodily injuries, mobility issues, and age. A model trained on these features achieved a commendable accuracy of 75.4%, demonstrating the feasibility of a simplified, efficient diagnostic tool with a diagnostic efficacy of 0.7. This study underscores the potential of streamlined models to predict diabetes with fewer parameters while maintaining high accuracy, offering a valuable tool for healthcare diagnostics. "
"Interpretable Prediction of Diabetes from Tabular Health Screening Records Using an Attentional Neural Network","https://scispace.com/paper/interpretable-prediction-of-diabetes-from-tabular-health-1aud29427c","2021","Proceedings Article","IEEE International Conference on Data Science and Advanced Analytics","Yuki Oba
Taro Tezuka
Masaru Sanuki
Yukiko Wagatsuma","10.1109/DSAA53316.2021.9564151","","- **Relevance Score:** 85/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses TabNet on health‑screening tables to predict diabetes aggravation; provides SHAP and attention‑mask explanations, supporting clinical decision‑making, but lacks multimodal, federated, imaging, or bias analyses.","Health screening is conducted in numerous countries to observe general health conditions. Machine learning has been applied to health screening records to predict asymptomatic patients' future medical states. However, for medical researchers and physicians, it is crucial to know why machine learning methods made such predictions to understand the underlying mechanism of the disease and prescribe treatments; therefore, predictions must be interpretable. We investigated the ability of an attentional neural network that processes tabular data, namely TabNet, to determine attributes that contribute to making predictions of the aggravation of type 2 diabetes. We used both model-agnostic and model-specific interpretation methods. For the former, we tested SHapley Additive exPlanations (SHAP). For the latter, we used model-specific feature importance and the mask in the attentive transformer of TabNet. We found that this mask provides useful information regarding which items in a biochemical analysis affect the aggravation of type 2 diabetes. The results from model-agnostic and model-specific methods were consistent."
"Diagnosis of diabetic retinopathy using deep neural networks","https://scispace.com/paper/diagnosis-of-diabetic-retinopathy-using-deep-neural-networks-2avzcugxvs","2019","Journal Article","IEEE Access","Zhentao Gao
Jie Li
Jixiang Guo
Yuanyuan Chen
Zhang Yi
Jie Zhong","10.1109/ACCESS.2018.2888639","https://ieeexplore.ieee.org/iel7/6287639/8600701/08581492.pdf","- **Relevance Score:** 85/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses deep CNN to grade diabetic retinopathy from fundus images, achieving high accuracy and clinical consistency; deployed as cloud service, but lacks interpretability, bias analysis, or federated learning.","Diabetic retinopathy (DR) is a common eye disease and a significant cause of blindness in diabetic patients. Regular screening with fundus photography and timely intervention is the most effective way to manage the disease. The large population of diabetic patients and their massive screening requirements have generated interest in a computer-aided and fully automatic diagnosis of DR. Deep neural networks, on the other hand, have brought many breakthroughs in various tasks in the recent years. To automate the diagnosis of DR and provide appropriate suggestions to DR patients, we have built a dataset of DR fundus images that have been labeled by the proper treatment method that is required. Using this dataset, we trained deep convolutional neural network models to grade the severities of DR fundus images. We were able to achieve an accuracy of 88.72% for a four-degree classification task in the experiments. We deployed our models on a cloud computing platform and provided pilot DR diagnostic services for several hospitals; in the clinical evaluation, the system achieved a consistency rate of 91.8% with ophthalmologists, demonstrating the effectiveness of our work."
"The importance of interpreting machine learning models for blood glucose prediction in diabetes: an analysis using SHAP","https://scispace.com/paper/the-importance-of-interpreting-machine-learning-models-for-4wmou2ls11","2023","Journal Article","Dental science reports","Francesco Prendin
Jacopo Pavan
Giacomo Cappon
Simone Del Favero
Giovanni Sparacino
Andrea Facchinetti","10.1038/s41598-023-44155-x","https://www.nature.com/articles/s41598-023-44155-x.pdf","- **Relevance Score:** 85/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses LSTM models and SHAP for explainable glucose prediction in T1D, directly supporting decision‑support systems; lacks multimodal, federated, imaging, bias, or transfer‑learning components.","Abstract Machine learning has become a popular tool for learning models of complex dynamics from biomedical data. In Type 1 Diabetes (T1D) management, these models are increasingly been integrated in decision support systems (DSS) to forecast glucose levels and provide preventive therapeutic suggestions, like corrective insulin boluses (CIB), accordingly. Typically, models are chosen based on their prediction accuracy. However, since patient safety is a concern in this application, the algorithm should also be physiologically sound and its outcome should be explainable. This paper aims to discuss the importance of using tools to interpret the output of black-box models in T1D management by presenting a case-of-study on the selection of the best prediction algorithm to integrate in a DSS for CIB suggestion. By retrospectively “replaying” real patient data, we show that two long-short term memory neural networks (LSTM) (named p-LSTM and np-LSTM) with similar prediction accuracy could lead to different therapeutic decisions. An analysis with SHAP—a tool for explaining black-box models’ output—unambiguously shows that only p-LSTM learnt the physiological relationship between inputs and glucose prediction, and should therefore be preferred. This is verified by showing that, when embedded in the DSS, only p-LSTM can improve patients’ glycemic control. "
"Automatically Explaining Machine Learning Prediction Results: A Demonstration on Type 2 Diabetes Risk Prediction","https://scispace.com/paper/http://arxiv.org/abs/1812.02852v1","2018","Preprint","","Gang Luo","10.1186/s13755-016-0015-4","https://arxiv.org/pdf/1812.02852v1","- **Relevance Score:** 85/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses XAI to explain any ML model for type‑2 diabetes risk, achieving 87% coverage; focuses on EMR data, no multimodal, federated, imaging, or bias analyses.","Background: Predictive modeling is a key component of solutions to many healthcare problems. Among all predictive modeling approaches, machine learning methods often achieve the highest prediction accuracy, but suffer from a long-standing open problem precluding their widespread use in healthcare. Most machine learning models give no explanation for their prediction results, whereas interpretability is essential for a predictive model to be adopted in typical healthcare settings. Methods: This paper presents the first complete method for automatically explaining results for any machine learning predictive model without degrading accuracy. We did a computer coding implementation of the method. Using the electronic medical record data set from the Practice Fusion diabetes classification competition containing patient records from all 50 states in the United States, we demonstrated the method on predicting type 2 diabetes diagnosis within the next year. Results: For the champion machine learning model of the competition, our method explained prediction results for 87.4% of patients who were correctly predicted by the model to have type 2 diabetes diagnosis within the next year. Conclusions: Our demonstration showed the feasibility of automatically explaining results for any machine learning predictive model without degrading accuracy."
"An online interpretable machine learning model for predicting cardiometabolic multimorbidity risk in patients with type 2 diabetes mellitus.","https://scispace.com/paper/41559245","2026","Journal Article","Scientific reports","Liu
Li
Huo
Liu
Liu
Cao
Zheng","10.1038/s41598-026-36923-2","","- **Relevance Score:** 85/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses ensemble ML and SHAP/LIME to predict cardiometabolic risk in T2DM, delivering an interpretable web decision tool; lacks multimodal, federated, imaging, bias or transfer learning components.","Cardiometabolic multimorbidity (CMM), a major complication in type 2 diabetes mellitus (T2DM), increases mortality and healthcare burden. Early identification of high-risk individuals is crucial for precision intervention. This study aimed to develop and validate an online interpretable machine learning system for forecasting the CMM risk in T2DM populations to facilitate personalized decision-making and early intervention. We used data from 793 T2DM patients from a tertiary hospital in Shanxi Province as the derivation cohort, divided into training (80%) and internal validation (20%) sets, with 360 cases from another independent center for external validation. Feature selection was performed through recursive feature elimination with random forest algorithm. We employed six machine learning algorithms to develop the CMM risk model. Model performance was evaluated using accuracy, precision, recall, F1-score, and area under the curve (AUC). The SHapley Additive exPlanations (SHAP) and Local Interpretable Model-Agnostic Explanations (LIME) provided model interpretability. After feature screening, nine predictors were included in the model. In internal validation, the Stacking model achieved the highest AUC (0.868), maintaining good external validation performance with an AUC of 0.822. The web-based system was accessible on https://t2dmcmmpredictionweb.streamlit.app/. This system assisted healthcare providers to identify high-risk populations early and facilitate timely intervention to mitigate disease progression."
"Quantum denoising autoencoder improves retinal fundus image quality for early diabetic retinopathy screening.","https://scispace.com/paper/41565887","2026","Journal Article","Scientific reports","Chilukuri
P
Gatla
Almenweer","10.1038/s41598-026-35540-3","","- **Relevance Score:** 85/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses a quantum‑enhanced denoising autoencoder to improve retinal fundus image quality for diabetic retinopathy screening, directly applying AI to a diabetes‑related imaging task; includes limited discussion of clinical deployment but lacks multimodal, federated, bias, or transfer‑learning components.","Diabetic Retinopathy (DR) is a critical source of blindness that can be prevented globally, and accurate analysis of retinal fundus images enables early detection. Fundus images are often affected by multiple noise sources, which impair image quality and hinder the observation of delicate retinal structures, including microaneurysms and small blood vessels. Deep learning driven denoising models are computationally intensive and prone to overfitting on small medical datasets. In order to overcome these shortcomings, the present paper suggests a Quantum Denoising Autoencoder (QDAE), a hybrid quantum-classical architecture, which uses convolutional feature coding with parameterized quantum circuits (PQCs) in latent space. The suggested QDAE applies quantum superposition and entanglement to improve the latent representations, thereby improving denoising and retinal detail preservation. Experiments on the Diabetic Retinopathy 224 × 224 (2019) dataset show that QDAE performs considerably better than classical denoising architectures, including CAE, ResNet, and DnCNN with PSNR of 38.8 dB, SSIM of 0.96, and AMI of 0.88. The approach preserves delicate retinal patterns and intensity consistency, while incurring a slight computational overhead associated with shallow quantum circuits. The results presented above demonstrate that QDAE is a potential quantum-aided architecture for denoising retinal images and a feasible preprocessing procedure in early diabetic retinopathy."
"Deep Learning Fundus Image Analysis for Diabetic Retinopathy and Macular Edema Grading","https://scispace.com/paper/http://arxiv.org/abs/1904.08764v1","2019","Preprint","","Jaakko Sahlsten
Joel Jaskari
Jyri Kivinen
Lauri Turunen
Esa Jaanio
Kustaa Hietala
Kimmo Kaski","","https://arxiv.org/pdf/1904.08764v1","- **Relevance Score:** 85/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses deep learning on fundus images to grade diabetic retinopathy and macular edema, directly applying AI to a diabetes-specific imaging task; lacks interpretability, bias analysis, or federated approaches.","Diabetes is a globally prevalent disease that can cause visible microvascular complications such as diabetic retinopathy and macular edema in the human eye retina, the images of which are today used for manual disease screening. This labor-intensive task could greatly benefit from automatic detection using deep learning technique. Here we present a deep learning system that identifies referable diabetic retinopathy comparably or better than presented in the previous studies, although we use only a small fraction of images (<1/4) in training but are aided with higher image resolutions. We also provide novel results for five different screening and clinical grading systems for diabetic retinopathy and macular edema classification, including results for accurately classifying images according to clinical five-grade diabetic retinopathy and four-grade diabetic macular edema scales. These results suggest, that a deep learning system could increase the cost-effectiveness of screening while attaining higher than recommended performance, and that the system could be applied in clinical examinations requiring finer grading."
"A Machine-Learning-Based Clinical Decision Model for Predicting Amputation Risk in Patients with Diabetic Foot Ulcers: Diagnostic Performance and Practical Implications.","https://scispace.com/paper/41464143","2025","Journal Article","Diagnostics (Basel, Switzerland)","Gao
Liu
Han
Wang","10.3390/diagnostics15243142","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12731953/pdf","- **Relevance Score:** 85/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses machine‑learning to predict amputation risk in diabetic foot ulcer patients, directly supporting clinical decisions. No multimodal, federated, imaging, bias, or transfer learning components.",""
"Machine learning-based prediction model for 30-day readmission risk in elderly patients with type 2 diabetes mellitus and heart failure: a retrospective cohort study with SHAP interpretability analysis.","https://scispace.com/paper/41573510","2025","Journal Article","Frontiers in cardiovascular medicine","Wang
Wei
Chen
Lu
Zhang
Yang","10.3389/fcvm.2025.1673159","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12819643/pdf","- **Relevance Score:** 85/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses machine learning to predict 30‑day readmission in elderly T2DM‑HF patients; applies AI directly to a diabetes‑related outcome; includes SHAP interpretability for clinical trust; relies on EHR data only, no multimodal, federated, imaging, bias, or transfer learning components.","Among elderly populations with concurrent type 2 diabetes mellitus (T2DM) and heart failure (HF), 30-day hospital readmission rates range 10%-25%. Conventional risk evaluation instruments show restricted predictive performance (AUC < 0.70) in this multimorbid group. This research aimed to construct and verify an artificial intelligence-based algorithm for assessing 30-day readmission probability in elderly T2DM-HF patients."
"Interpretable machine learning algorithms for diagnostic prediction of diabetic retinopathy.","https://scispace.com/paper/41460717","2025","Journal Article","Technology and health care : official journal of the European Society for Engineering and Medicine","Dou
Liu","10.1177/09287329251410736","","- **Relevance Score:** 85/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses ensemble ML and SHAP for DR risk prediction, delivering interpretable decision support; lacks imaging, multimodal, federated, bias, or transfer learning components.","BackgroundDiabetic Retinopathy (DR) remains a leading cause of blindness among diabetic patients worldwide, necessitating early and accurate diagnostic interventions. While traditional screening methods rely heavily on manual ophthalmologic evaluations, recent advancements in machine learning (ML) and deep learning (DL) have opened new avenues for automated, scalable, and interpretable diagnostic tools. However, challenges persist in developing models that are not only high-performing but also transparent enough to gain clinical trust.ObjectiveThis study introduces a novel, standardized, and interpretable ML framework designed specifically to enhance diagnostic efficiency and accuracy for DR risk prediction. By prioritizing model interpretability alongside predictive performance, our approach aims to bridge the gap between cutting-edge AI technology and clinical applicability.MethodsWe evaluated eleven ML algorithms, optimizing hyperparameters via grid search and five-fold cross-validation to identify top-performing models. A key innovation lies in our dynamic weighted voting ensemble (Voting_soft), which integrates multiple classifiers based on model confidence, thereby leveraging the strengths of diverse algorithms. Model performance was rigorously assessed using accuracy, sensitivity, and area under the curve (AUC) metrics, with ROC and PR curves comparing performance across varying training dataset proportions. Crucially, we employed SHAP (SHapley Additive exPlanations) for interpretability analysis, providing clinicians with actionable insights into feature contributions.ResultsThrough LightGBM-based correlation analysis and AUC curve determination, fourteen clinical features were identified as optimal predictors. Notably, the CatBoost model achieved superior performance on a 20% test set, while the Extreme Random Tree model demonstrated robustness on a 30% test set. Our dynamic weighted voting ensemble (Voting_soft) outperformed individual models in terms of AUC across both datasets. SHAP analysis revealed that age, triglycerides, sex, and HDL-C were key predictors of DR prevalence, offering clinically meaningful explanations for model decisions.ConclusionsThis study presents a groundbreaking ML-based DR risk prediction system that excels in both accuracy and interpretability. The integration of SHAP analysis not only enhances model transparency but also empowers clinicians with a deeper understanding of diagnostic decision-making, ultimately improving the precision and efficiency of DR screening. Our dynamic voting ensemble approach sets a new benchmark for interpretable, multi-model integration in medical diagnostics."
"Detection and diagnosis of diabetic retinopathy in retinal fundus images using agentic AI approaches.","https://scispace.com/paper/41454113","2025","Journal Article","Scientific reports","Sathya
Valaramathi","10.1038/s41598-025-34016-0","","- **Relevance Score:** 85/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses agentic AI with CNN/transformer ensembles for retinal fundus DR detection, directly linking deep learning to diabetes care; mentions decision support but lacks detailed trustworthiness analyses; no multimodal, federated, bias, or transfer learning components.","In today's world, Diabetic Retinopathy (DR) remains a leading cause of vision loss globally, necessitating early detection and accurate diagnosis for timely intervention. Traditional machine learning and deep learning-based approaches, while effective, often suffer from issues such as limited interpretability, static decision-making, and inadequate generalization across diverse patient data. This research introduces an Agentic-AI Driven Framework for Diabetic Retinopathy Analysis (AADR-AI), which leverages intelligent agent-based learning mechanisms to enhance decision-making autonomy, dynamic adaptability, and contextual understanding of retinal fundus images. The novelty lies in incorporating agentic intelligence principles, autonomy, reactivity, and proactivity into DR detection systems, allowing real-time analysis and adaptive feature learning based on patient-specific variations. The proposed AADR-AI framework integrates a multi-agent ensemble of convolutional and transformer-based networks, coordinated through a decision fusion layer for robust classification. Key contributions include improved classification accuracy (up to 96.7%), enhanced model efficiency with reduced computational overhead, and real-time adaptability to varying image qualities and disease progression stages. Extensive experimentation on benchmark datasets demonstrates superior performance compared to existing state-of-the-art methods. This work highlights the transformative potential of agentic AI in medical imaging, paving the way for more autonomous and interpretable clinical decision-support systems."
"Hemorrhage Segmentation in Fundus Images Using the U-Net 3+ Model: Performance Comparison Across Retinal Regions.","https://scispace.com/paper/41565928","2026","Journal Article","Journal of imaging informatics in medicine","Kang
Kim
Kim","10.1007/s10278-025-01837-4","","- **Relevance Score:** 85/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses U‑Net3+ deep learning for hemorrhage segmentation in diabetic retinopathy fundus images, directly applying AI to a diabetes‑related clinical problem; evaluates region‑wise performance, offering some clinical insight but lacks explicit interpretability, bias analysis, or federated learning.","Diabetic retinopathy (DR) is one of the most common complications of diabetes, and timely detection of retinal hemorrhages is essential for preventing vision loss. This study evaluates the U-Net3 + model for pixel-level hemorrhage segmentation in fundus images and examines its performance across clinically meaningful retinal regions. Model performance was assessed using accuracy, sensitivity, specificity, and Dice score and further analyzed across perivascular and extravascular areas, perifoveal and extrafoveal regions, fovea-centered quadrants, and images stratified by hemorrhage burden. U-Net3 + achieved strong overall performance, with 99.93% accuracy, 87.03% sensitivity, 99.97% specificity, and an 85.02% Dice score. Higher segmentation accuracy was observed in extravascular regions and within the foveal area, while quadrant-wise performance remained largely consistent. Images with greater hemorrhage burden demonstrated higher segmentation reliability. These findings highlight the importance of region-aware evaluation and suggest that U-Net3 + can provide clinically meaningful support for automated DR screening. Further validation using larger and multi-center datasets is required to enhance the model's generalizability for real-world clinical deployment."
