"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Key AI/ML Methods and Approaches","Data Modalities and Sources","Challenges and Limitations"
"Deep Learning for Blood Glucose Prediction: Reproducibility Challenges and Factors Affecting Differential Performance","https://scispace.com/paper/deep-learning-for-blood-glucose-prediction-reproducibility-mowmmm681qxe","2025","Journal Article","","Temiloluwa Prioleau
Baiying Lu
B. Wagle
Yanjun Cui","10.21203/rs.3.rs-7024301/v1","","- **Relevance Score:** 37/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses reproducibility study of CGM DL models across three public datasets; highlights dataset shift, gender bias, and offers a taxonomy plus benchmark recommendations, but lacks broader multimodal, wearable, imaging, and low‑resource deployment coverage.","<title>Abstract</title> Blood glucose prediction is a fundamental part of advanced technology that promises to improve diabetes outcomes. However, a critical gap exists around understanding the reproducibility of state-of-the-art methods for blood glucose prediction. In this study, we curated 60 deep learning (DL)-based glucose prediction papers published between 2018–2025 and assessed them against seven established reproducibility criteria. We found that code availability, overreliance on a single public dataset, and limited use of multiple datasets for algorithm development and evaluation are amongst the top challenges to reproducibility. Next, we replicated six representative models from well-cited prior literature using 4602 days of data with over 1.25 million glucose samples from 128 persons with type 1 diabetes across three public datasets - OhioT1DM, DiaTrend, and T1DEXI. Our results show good reproducibility of DL methods when using the same code (where available) and same evaluation dataset. However, we found poor conceptual reproducibility across datasets with significantly different diabetes management. Further analyses revealed that the accuracy of blood glucose prediction methods was significantly associated with individual diabetes management and sex/gender. All models had significantly higher prediction errors for individuals with worse glycemic control and for female subgroups compared to males. To accelerate development of robust and equitable algorithms for diabetes management, we conclude with recommendations for future researchers centered considerations for data selection, model design and selection, model evaluation and reporting results, documentation and code release. ","","",""
"Leveraging Artificial Intelligence and Wearable Technologies in Glucose Managenment: A Comprehensive Scoping Review of Current Trends and Future Directions","https://scispace.com/paper/leveraging-artificial-intelligence-and-wearable-technologies-kn1ywmq7j1py","2025","Journal Article","International journal of environmental sciences","Komal Dandge
Manisha Kumawat
Parul Jadhav","10.64252/a6fbg258","","- **Relevance Score:** 36/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses AI/ML to analyze wearable PPG and IoT‑enabled CGM data; offers detailed review of sensor‑based glucose estimation, but lacks retinal imaging, broad multimodal fusion, fairness, deployment, and dataset resources.","The integration of artificial intelligence (AI) and machine learning (ML) with wearable health monitoring systems presents transformative opportunities for advancing diabetes management. This paper delivers an in-depth review of state-of-the-art AI/MLmethodologies applied to wearable sensor technology, focusing on noninvasive techniques for real- time blood glucose monitoring. Inparticular, we investigate the utility of wrist-worn photoplethysmography (PPG) signals for blood glucose estimation and assess IoTenabled continuous glucose monitoring (CGM) systems. A systematic literature search was conducted across prominent databases such as IEEE Xplore, PubMed, Scopus, and Web of Science. Studies were meticulously selected based on stringent criteria including technological innovation, methodological rigor, and clinical relevance. Our synthesis reveals significant progress in the accuracy, computational efficiency, and practical deployment of AI/ML algorithms in diabetes monitoring, while also identifying persistent challenges related to signal noise reduction, data heterogeneity, and sensor integration. The review further discusses the potential of these advanced technologies to enable early diagnosis, facilitate personalized treatment strategies, and ultimately improve patient outcomes. These insights underscore the critical need for continued interdisciplinary research and collaboration to overcome existing limitations and to drive the successful translation of these innovations into clinical practice. ","","",""
"Exploring the progress of artificial intelligence in managing type 2 diabetes mellitus: a comprehensive review of present innovations and anticipated challenges ahead","https://scispace.com/paper/exploring-the-progress-of-artificial-intelligence-in-43igsc0vdm","2023","Journal Article","Frontiers in clinical diabetes and healthcare","Farwa Tahir
Muhammad Farhan","10.3389/fcdhc.2023.1316111","","- **Relevance Score:** 35/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses AI review to discuss diabetic retinopathy detection and ethical concerns, mentions individualized care and precision medicine, but lacks wearable, CGM, fusion, robustness, taxonomy, and dataset details.","A significant worldwide health issue, Type 2 Diabetes Mellitus (T2DM) calls for creative solutions. This in-depth review examines the growing severity of T2DM and the requirement for individualized management approaches. It explores the use of artificial intelligence (AI) in the treatment of diabetes, highlighting its potential for diagnosis, customized treatment plans, and patient self-management. The paper highlights the roles played by AI applications such as expert systems, machine learning algorithms, and deep learning approaches in the identification of retinopathy, the interpretation of clinical guidelines, and prediction models. Examined are difficulties with individualized diabetes treatment, including complex technological issues and patient involvement. The review highlights the revolutionary potential of AI in the management of diabetes and calls for a balanced strategy in which AI supports clinical knowledge. It is crucial to pay attention to ethical issues, data privacy, and joint research initiatives.","","",""
"Advances and Challenges in Machine Learning for Diabetes Prediction: A Comprehensive Review","https://scispace.com/paper/advances-and-challenges-in-machine-learning-for-diabetes-46ak7tyzsch8","2024","Journal Article","Applied and Computational Engineering","Yueheng Ding","10.54254/2755-2721/109/20241437","https://scispace.compdf/advances-and-challenges-in-machine-learning-for-diabetes-46ak7tyzsch8.pdf","- **Relevance Score:** 34/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses extensive ethical discussion to highlight bias and fairness; reviews ML advances for diabetes prediction but lacks multimodal, wearable, CGM, imaging, fusion, and deployment specifics; mentions challenges without formal taxonomy or dataset listings.","Abstract. Diabetes mellitus is a prevalent and severe metabolic disorder disease that poses significant health risks globally, leading to substantial healthcare burdens. Recent days, advancements in artificial intelligence (AI) have markedly enhanced the accuracy and efficiency of diabetes outcome predicted by machine learning (ML), offering a promising approach for early intervention and treatment. This paper evaluates several advanced ML models, including Random Forest (RF), Support Vector Machine (SVM), and Neural Networks techniques based on neural networks. Each model's strengths and limitations are discussed, highlighting the improvements in predictive performance and diagnostic precision. Despite these advancements, the field faces ongoing challenges related to ethical considerations and data scale, which impact ML application in healthcare from both technical and moral aspects. Future efforts should focus on these challenges by promoting data sharing and integration while safeguarding privacy. Through these endeavors, we aim to advance the field of diabetes prediction and improve patient care. ","","",""
"SSM-CGM: Interpretable State-Space Forecasting Model of Continuous Glucose Monitoring for Personalized Diabetes Management","https://scispace.com/paper/http://arxiv.org/abs/2510.04386v1","2025","Preprint","","Shakson Isaac
Yentl Collin
Chirag Patel","","https://arxiv.org/pdf/2510.04386v1","- **Relevance Score:** 33/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses wearable activity, heart‑rate, and respiration signals with CGM; offers variable selection and temporal attribution for interpretability; integrates multimodal data but lacks broad review, retinal imaging, taxonomy, and explicit democratization discussion.","Continuous glucose monitoring (CGM) generates dense data streams critical for diabetes management, but most used forecasting models lack interpretability for clinical use. We present SSM-CGM, a Mamba-based neural state-space forecasting model that integrates CGM and wearable activity signals from the AI-READI cohort. SSM-CGM improves short-term accuracy over a Temporal Fusion Transformer baseline, adds interpretability through variable selection and temporal attribution, and enables counterfactual forecasts simulating how planned changes in physiological signals (e.g., heart rate, respiration) affect near-term glucose. Together, these features make SSM-CGM an interpretable, physiologically grounded framework for personalized diabetes management.","","",""
"Transforming Diabetes Care Through Artificial Intelligence: The Future Is Here.","https://scispace.com/paper/transforming-diabetes-care-through-artificial-intelligence-4lgr1lurba","2019","Journal Article","Population Health Management","Irene Dankwa-Mullan
Marc Rivo
Marisol Sepulveda
Yoonyoung Park
Jane L. Snowdon
Kyu Rhee","10.1089/POP.2018.0129","","- **Relevance Score:** 33/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Offers a broad AI‑diabetes review with strong focus on retinal screening; mentions sensors and CGM but lacks deep multimodal fusion, robustness, fairness, deployment, or dataset taxonomy details.","An estimated 425 million people globally have diabetes, accounting for 12% of the world's health expenditures, and yet 1 in 2 persons remain undiagnosed and untreated. Applications of artificial intelligence (AI) and cognitive computing offer promise in diabetes care. The purpose of this article is to better understand what AI advances may be relevant today to persons with diabetes (PWDs), their clinicians, family, and caregivers. The authors conducted a predefined, online PubMed search of publicly available sources of information from 2009 onward using the search terms ""diabetes"" and ""artificial intelligence."" The study included clinically-relevant, high-impact articles, and excluded articles whose purpose was technical in nature. A total of 450 published diabetes and AI articles met the inclusion criteria. The studies represent a diverse and complex set of innovative approaches that aim to transform diabetes care in 4 main areas: automated retinal screening, clinical decision support, predictive population risk stratification, and patient self-management tools. Many of these new AI-powered retinal imaging systems, predictive modeling programs, glucose sensors, insulin pumps, smartphone applications, and other decision-support aids are on the market today with more on the way. AI applications have the potential to transform diabetes care and help millions of PWDs to achieve better blood glucose control, reduce hypoglycemic episodes, and reduce diabetes comorbidities and complications. AI applications offer greater accuracy, efficiency, ease of use, and satisfaction for PWDs, their clinicians, family, and caregivers.","","",""
"<scp>GlucoNet</scp>‐<scp>MM</scp>: A multimodal attention‐based multi‐task learning framework with decision transformer for personalised and explainable blood glucose forecasting","https://scispace.com/paper/scp-gluconet-scp-scp-mm-scp-a-multimodal-attention-based-io3ap30t1q9h","2025","Journal Article","Diabetes, Obesity and Metabolism","Sarmad Maqsood
Muhammad Abdullah Sarwar
Eglė Belousovienė
Rytis Maskeliūnas","10.1111/dom.70147","","- **Relevance Score:** 31/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Presents a novel multimodal DL model with attention, decision transformer, and interpretability for glucose forecasting; includes CGM, insulin, carbs, activity data, evaluates on public datasets, but does not serve as a review, lacks retinal imaging, taxonomy, and extensive deployment discussion.","Abstract Aims Accurate and personalized blood glucose prediction is critical for proactive diabetes management. Conventional machine learning (ML) models often struggle to generalize across patients due to individual variability, nonlinear glycemic dynamics, and sparse multimodal input data. This study aims to develop an advanced, interpretable deep learning (DL) framework for patient‐specific, policy‐aware blood glucose forecasting. Materials and Methods We propose GlucoNet‐MM, a novel multimodal DL framework that combines attention‐based multi‐task learning (MTL) with a Decision Transformer (DT), a reinforcement learning paradigm that frames policy learning as sequence modeling. The model integrates heterogeneous physiological and behavioral data, continuous glucose monitoring (CGM), insulin dosage, carbohydrate intake, and physical activity, to capture complex temporal dependencies. The MTL backbone learns shared representations across multiple prediction horizons, while the DT module conditions future glucose predictions on desired glycemic outcomes. Temporal attention visualizations and integrated gradient‐based attribution methods are used to provide interpretability, and Monte Carlo dropout is employed for uncertainty quantification. Results GlucoNet‐MM was evaluated on two publicly available datasets, BrisT1D and OhioT1DM. The model achieved R 2 scores of 0.94 and 0.96 and mean absolute error (MAE) values of 0.031 and 0.027, respectively. These results outperform single‐modality and conventional non‐adaptive baseline models, demonstrating superior predictive accuracy and generalizability. Conclusion GlucoNet‐MM represents a promising step toward intelligent, personalized clinical decision support for diabetes care. Its multimodal design, policy‐aware forecasting, and interpretability features enhance both prediction accuracy and clinical trust, enabling proactive glycemic management tailored to individual patient needs. ","","",""
"Population-Specific Glucose Prediction in Diabetes Care With Transformer-Based Deep Learning on the Edge.","https://scispace.com/paper/population-specific-glucose-prediction-in-diabetes-care-with-nuqfpgx8e2","2024","Journal Article","IEEE Transactions on Biomedical Circuits and Systems","Taiyu Zhu
Lei Kuang
Chengzhe Piao
Junming Zeng
Kezhi Li
Pantelis Georgiou","10.1109/tbcas.2023.3348844","","- **Relevance Score:** 31/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses TFT to predict glucose from CGM and demographics, embeds model on low‑power wearable; discusses edge deployment and battery life, but focuses on a single method rather than a review, lacks retinal imaging, bias analysis, and a formal challenge taxonomy.","Leveraging continuous glucose monitoring (CGM) systems, real-time blood glucose (BG) forecasting is essential for proactive interventions, playing a crucial role in enhancing the management of type 1 diabetes (T1D) and type 2 diabetes (T2D). However, developing a model generalized to a population and subsequently embedding it within a microchip of a wearable device presents significant technical challenges. Furthermore, the domain of BG prediction in T2D remains under-explored in the literature. In light of this, we propose a population-specific BG prediction model, leveraging the capabilities of the temporal fusion Transformer (TFT) to adjust predictions based on personal demographic data. Then the trained model is embedded within a system-on-chip, integral to our low-power and low-cost customized wearable device. This device seamlessly communicates with CGM systems through Bluetooth and provides timely BG predictions using edge computing. When evaluated on two publicly available clinical datasets with a total of 124 participants with T1D or T2D, the embedded TFT model consistently demonstrated superior performance, achieving the lowest prediction errors when compared with a range of machine learning baseline methods. Executing the TFT model on our wearable device requires minimal memory and power consumption, enabling continuous decision support for more than 51 days on a single Li-Poly battery charge. These findings demonstrate the significant potential of the proposed TFT model and wearable device in enhancing the quality of life for people with diabetes and effectively addressing real-world challenges.","","",""
"Explainable cluster-based learning for prediction of postprandial glycemic events and insulin dose optimization in type 1 diabetes","https://scispace.com/paper/explainable-cluster-based-learning-for-prediction-of-fb5hv7rlycg5","2025","Journal Article","PLOS digital health","Najib Ur Rehman
Iván Contreras
Aleix Beneyto
Josep Vehı́","10.1371/journal.pdig.0000996","https://scispace.compdf/explainable-cluster-based-learning-for-prediction-of-fb5hv7rlycg5.pdf","- **Relevance Score:** 30/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses CGM data to predict hypo/hyperglycemia; applies clustering and ensemble models; offers SHAP/LIME explanations; mentions insulin adjustment but lacks broad review, wearable, retinal, taxonomy, or dataset benchmark discussions.","Effective management of postprandial glycemic excursions in type 1 diabetes requires accurate prediction of adverse events and personalized insulin adjustments informed by interpretable models. This study presents an explainable dual-prediction framework that simultaneously forecasts postprandial hypoglycemia and hyperglycemia within a 4-hour window using cluster-personalized ensemble models. Glycemic profiles were identified through a hybrid unsupervised approach combining self-organizing maps and k-means clustering, enabling the training of specialized random forest classifiers. The system outperformed baseline models on both real-world and simulated datasets, achieving high performance (AUC = 0.84 and 0.93; MCC = 0.47 and 0.73 for hypo- and hyperglycemia, respectively). Model interpretability was addressed using global (SHAP) and local (LIME) explanations, while interaction analysis revealed the non-linear effects of carbohydrate intake and insulin bolus combinations. An insulin adjustment module further refined pre-meal bolus recommendations based on predicted risk. Simulated evaluations confirmed improved postprandial time-in-range and reduced hypoglycemia without excessive hyperglycemia. These results underscore the potential of profile-driven and explainable machine learning approaches to support safer, individualized diabetes care. ","","",""
"The Use of Artificial Intelligence in the Diagnosis and Treatment of Diabetes","https://scispace.com/paper/the-use-of-artificial-intelligence-in-the-diagnosis-and-5zgpnpaw0imh","2023","Journal Article","","Usame Ömer Osmanoğlu","10.69860/nobel.9786053359104.15","","- **Relevance Score:** 30/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses AI to analyze patient records, genetics, and wearable metrics for diagnosis and personalized insulin dosing; mentions wearables, CGM, retinal imaging, and deployment challenges, but lacks deep review, taxonomy, benchmarks, and detailed methodological analysis.","Artificial intelligence (AI) is increasingly transforming the landscape of diabetes diagnosis and treatment by leveraging data-driven approaches to enhance precision and efficiency in healthcare. AI algorithms analyze vast amounts of patient data, including medical records, genetic profiles, and real-time physiological metrics from wearable devices, to identify patterns and predict disease progression. In diagnostics, AI-powered systems can interpret complex datasets to facilitate early detection of diabetes and its complications, such as diabetic retinopathy and nephropathy, improving clinical outcomes through timely intervention. Furthermore, AI algorithms aid in personalized treatment strategies by optimizing insulin dosing regimens based on individual patient characteristics and response patterns. Machine learning models continue to evolve, offering healthcare providers decision support tools that streamline care delivery, enhance patient monitoring, and tailor therapeutic interventions to achieve better glycemic control and mitigate long-term complications of diabetes mellitus. As AI technologies advance, their integration into clinical practice holds promise for revolutionizing diabetes management, fostering proactive healthcare strategies, and ultimately improving patient outcomes. ","","",""
"GARNN: An Interpretable Graph Attentive Recurrent Neural Network for
  Predicting Blood Glucose Levels via Multivariate Time Series","https://scispace.com/paper/garnn-an-interpretable-graph-attentive-recurrent-neural-2aru34mdj9","2024","Preprint","","Chengzhe Piao
Taiyu Zhu
Stephanie E Baldeweg
Paul Taylor
Pantelis Georgiou
Jinsheng Sun
Jun Wang
Kezhi Li","10.48550/arxiv.2402.16230","https://scispace.compdf/garnn-an-interpretable-graph-attentive-recurrent-neural-2aru34mdj9.pdf","- **Relevance Score:** 30/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses graph‑attentive RNN to predict CGM glucose, offering strong interpretability for meals/insulin. Covers wearable‑type time‑series and fusion ideas, but lacks review, retinal imaging, taxonomy, and benchmark discussions.","Accurate prediction of future blood glucose (BG) levels can effectively improve BG management for people living with diabetes, thereby reducing complications and improving quality of life. The state of the art of BG prediction has been achieved by leveraging advanced deep learning methods to model multi-modal data, i.e., sensor data and self-reported event data, organised as multi-variate time series (MTS). However, these methods are mostly regarded as ``black boxes'' and not entirely trusted by clinicians and patients. In this paper, we propose interpretable graph attentive recurrent neural networks (GARNNs) to model MTS, explaining variable contributions via summarizing variable importance and generating feature maps by graph attention mechanisms instead of post-hoc analysis. We evaluate GARNNs on four datasets, representing diverse clinical scenarios. Upon comparison with twelve well-established baseline methods, GARNNs not only achieve the best prediction accuracy but also provide high-quality temporal interpretability, in particular for postprandial glucose levels as a result of corresponding meal intake and insulin injection. These findings underline the potential of GARNN as a robust tool for improving diabetes care, bridging the gap between deep learning technology and real-world healthcare solutions. ","","",""
"Artificial Intelligence and Diabetes Mellitus: An Inside Look Through the Retina","https://scispace.com/paper/artificial-intelligence-and-diabetes-mellitus-an-inside-look-rryef32ofg","2024","Journal Article","arXiv.org","Yasin Sadeghi Bazargani
Majid Mirzaei
Navid Sobhi
M. Abdollahi
A. Jafarizadeh
Siamak Pedrammehr
Roohallah Alizadehsani
Ru-San Tan
Sheikh Mohammad Shariful Islam
U. R. Acharya","10.48550/arxiv.2402.18600","https://scispace.compdf/artificial-intelligence-and-diabetes-mellitus-an-inside-look-rryef32ofg.pdf","- **Relevance Score:** 30/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses retinal AI review to address DR imaging challenges; touches on generalization, bias, deployment, and democratization, but lacks wearable, CGM, multimodal fusion, and comprehensive multimodal scope.","Diabetes mellitus (DM) increases the risk of vascular complications, and retinal vasculature imaging serves as a valuable indicator of both microvascular and macrovascular health. Moreover, artificial intelligence (AI)-enabled systems developed for high-throughput detection of diabetic retinopathy (DR) using digitized retinal images have become clinically adopted. This study reviews AI applications using retinal images for DM-related complications, highlighting advancements beyond DR screening, diagnosis, and prognosis, and addresses implementation challenges, such as ethics, data privacy, equitable access, and explainability. We conducted a thorough literature search across several databases, including PubMed, Scopus, and Web of Science, focusing on studies involving diabetes, the retina, and artificial intelligence. We reviewed the original research based on their methodology, AI algorithms, data processing techniques, and validation procedures to ensure a detailed analysis of AI applications in diabetic retinal imaging. Retinal images can be used to diagnose DM complications including DR, neuropathy, nephropathy, and atherosclerotic cardiovascular disease, as well as to predict the risk of cardiovascular events. Beyond DR screening, AI integration also offers significant potential to address the challenges in the comprehensive care of patients with DM. With the ability to evaluate the patient’s health status in relation to DM complications as well as risk prognostication of future cardiovascular complications, AI-assisted retinal image analysis has the potential to become a central tool for modern personalized medicine in patients with DM.","","",""
"Developing robust benchmarks for driving forward AI innovation in healthcare","https://scispace.com/paper/developing-robust-benchmarks-for-driving-forward-ai-e84xf0jq","2022","Journal Article","Nature Machine Intelligence","Diana Mincu
Subhrajit Roy","10.1038/s42256-022-00559-4","https://scispace.com/pdf/developing-robust-benchmarks-for-driving-forward-ai-e84xf0jq.pdf","- **Relevance Score:** 28/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses robustness and fairness stress‑tests to benchmark healthcare models; discusses model generalization, bias, interpretability, and deployment challenges; mentions open benchmarks but lacks diabetes‑specific multimodal focus.","Machine learning technologies have seen increased application to the healthcare domain. The main drivers are openly available healthcare datasets, and a general interest from the community to use its powers for knowledge discovery and technological advancements in this more conservative field. However, with this additional volume comes a range of questions and concerns — are the obtained results meaningful and conclusions accurate; how do we know we have improved state of the art; is the clinical problem well defined and does the model address it? We reflect on key aspects in the end-to-end pipeline that we believe suffer the most in this space, and suggest some good practices to avoid reproducing these issues. Finding good benchmarks is an important and pervasive problem in machine learning for healthcare. This Perspective highlights key aspects that require scrutiny in the whole process of benchmark generation and use, including problem formulation, creation of datasets, development of a suite of machine learning models and evaluation of these models. ","","",""
"RealTime Health Monitoring Using 5G Networks: A Deep Learning-Based
  Architecture for Remote Patient Care","https://scispace.com/paper/realtime-health-monitoring-using-5g-networks-a-deep-learning-5q9m7k2r2a8c","2025","Journal Article","","Iqra Batool","10.48550/arxiv.2501.01027","https://scispace.compdf/realtime-health-monitoring-using-5g-networks-a-deep-learning-5q9m7k2r2a8c.pdf","- **Relevance Score:** 28/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses 5G and deep learning for remote monitoring; mentions multimodal signals, federated learning, explainable AI, and low‑resource deployment, but lacks diabetes focus, review format, and specific datasets.","Remote patient monitoring is crucial in modern healthcare, but current systems struggle with real-time analysis and prediction of vital signs. This paper presents a novel architecture combining deep learning with 5G network capabilities to enable real-time vital sign monitoring and prediction. The proposed system utilizes a hybrid CNN-LSTM model optimized for edge deployment, paired with 5G Ultra-Reliable Low-Latency Communication (URLLC) for efficient data transmission. The architecture achieves end-to-end latency of 14.4ms while maintaining 96.5% prediction accuracy across multiple vital signs. Our system shows significant improvements over existing solutions, reducing latency by 47% and increasing prediction accuracy by 4.2% compared to current state-of-the-art systems. Performance evaluations conducted over three months with data from 1000 patients validate the system's reliability and scalability in clinical settings. The results demonstrate that integrating deep learning with 5G technology can effectively address the challenges of real-time patient monitoring, leading to early detection of deteriorating conditions and improved clinical outcomes. This research establishes a framework for reliable, real-time vital sign monitoring and prediction in digital healthcare. ","","",""
"Machine Learning Efforts That Enhance Personalized Patient Care and Chronic Disease Management","https://scispace.com/paper/machine-learning-efforts-that-enhance-personalized-patient-h0s1nq0anwvm","2022","Journal Article","International Journal of Scientific Research in Science and Technology","Adeyemi Abiodun Adeyinka
Yejide Lamina
Obah Edom Tawo
Yewande Iyimide Adeyeye
Andrew Yaw Minkah","10.32628/ijsrst2302551","","- **Relevance Score:** 27/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses broad chronic‑disease ML review to touch on wearables, CGM, and fusion concepts, but lacks diabetes‑specific multimodal depth, retinal imaging, detailed generalization, and dataset benchmarks.","The growing burden of chronic diseases has underscored the urgent need for personalized, data-driven approaches to healthcare delivery. Machine learning (ML) has emerged as a transformative technology capable of enhancing chronic disease management through predictive analytics, real-time monitoring, and individualized treatment optimization. This review examines the role of ML in advancing personalized patient care by exploring foundational techniques such as supervised and unsupervised learning, deep neural networks, and reinforcement learning. It highlights practical applications across diabetes, cardiovascular conditions, respiratory disorders, and cancer survivorship, emphasizing the value of ML in risk prediction, medication adjustment, and remote monitoring. Additionally, the paper discusses key enablers of personalized care, including patient stratification, precision dosing, and the integration of wearable devices and digital platforms. Emerging innovations such as federated learning, explainable AI, multimodal data fusion, and digital twin systems are explored for their potential to support secure, transparent, and context-aware healthcare delivery. The review also addresses critical challenges related to bias, data privacy, clinical integration, and regulatory oversight. Ultimately, this work advocates for a multidisciplinary framework that combines technological innovation with policy reform to ensure equitable, scalable, and sustainable deployment of machine learning in personalized chronic disease care. ","","",""
"A domain-agnostic continual multi-task learning model for generalized glucose level and hypoglycemia event prediction","https://scispace.com/paper/a-domain-agnostic-continual-multi-task-learning-model-for-z972yswseetk","2025","Journal Article","","M.-Y. Hwang
Vega Pradana Rachim
Junyoung Yoo
Yein Lee
Sung‐Min Park","10.21203/rs.3.rs-6576039/v1","","- **Relevance Score:** 27/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses CGM data and elastic weight consolidation for continual multi‑task learning; addresses generalization and dataset shift via Sim2Real transfer; mentions wearable‑derived inputs and fusion but lacks a review scope, retinal imaging, bias analysis, or AI democratization discussion.","<title>Abstract</title> Continuous prediction of blood glucose levels and hypoglycemia events is critical for managing type 1 diabetes mellitus (T1DM), particularly under intensive insulin therapy. Existing models focus on a single task, limiting their practicality and adaptability in automated insulin delivery (AID) systems. To address, a domain-agnostic continual multi-task learning (DA-CMTL) model is proposed to perform both tasks within a unified framework. Trained on simulated datasets via Sim2Real transfer and adapted using elastic weight consolidation, DA-CMTL supports generalization across domains. On public datasets (DiaTrend, OhioT1DM, and ShanghaiT1DM), DA-CMTL achieved a root mean squared error of 14.19 mg/dL, mean absolute error of 10.09 mg/dL, and sensitivity/specificity of 89.28%/94.09% for early hypoglycemia detection. Real-world validation using type 2 diabetes-induced rats demonstrated a reduction in time below range from 3.01–2.58%, supporting reliable integration as a safety layer in AID systems. These results highlight DA-CMTL’s robustness, scalability, and potential to improve safety in AID. ","","",""
"A panoramic perspective: application prospects and outlook of multimodal artificial intelligence in the management of diabetic retinopathy","https://scispace.com/paper/dBQgdMekr78J","","","","C Liu
Y Duan
H Wu
J Duan","","https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2025.1724001/pdf","- **Relevance Score:** 26/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Focuses on AI for retinal imaging in diabetic retinopathy, offering detailed imaging challenges and some discussion of fusion, generalization, bias, and datasets, but lacks coverage of wearables, CGM, deployment, and democratization.","","","",""
"Artificial intelligence and deep learning in ophthalmology","https://scispace.com/paper/artificial-intelligence-and-deep-learning-in-ophthalmology-2xyftxmxxk","2019","Journal Article","British Journal of Ophthalmology","Daniel Shu Wei Ting
Louis R. Pasquale
Lily Peng
John P. Campbell
Aaron Y. Lee
Rajiv Raman
Gavin Tan
Leopold Schmetterer
Pearse A. Keane
Tien Yin Wong","10.1136/BJOPHTHALMOL-2018-313173","https://bjo.bmj.com/content/bjophthalmol/103/2/167.full.pdf","- **Relevance Score:** 26/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses deep learning to detect diabetic retinopathy in fundus images, discusses ophthalmic AI challenges, explainability, and deployment; lacks multimodal diabetes focus, wearables, CGM, and broader diabetes-specific datasets.","Artificial intelligence (AI) based on deep learning (DL) has sparked tremendous global interest in recent years. DL has been widely adopted in image recognition, speech recognition and natural language processing, but is only beginning to impact on healthcare. In ophthalmology, DL has been applied to fundus photographs, optical coherence tomography and visual fields, achieving robust classification performance in the detection of diabetic retinopathy and retinopathy of prematurity, the glaucoma-like disc, macular oedema and age-related macular degeneration. DL in ocular imaging may be used in conjunction with telemedicine as a possible solution to screen, diagnose and monitor major eye diseases for patients in primary care and community settings. Nonetheless, there are also potential challenges with DL application in ophthalmology, including clinical and technical challenges, explainability of the algorithm results, medicolegal issues, and physician and patient acceptance of the AI ‘black-box’ algorithms. DL could potentially revolutionise how ophthalmology is practised in the future. This review provides a summary of the state-of-the-art DL systems described for ophthalmic applications, potential challenges in clinical deployment and the path forward.","","",""
"A review of internet of medical things (IoMT) - based remote health monitoring through wearable sensors: a case study for diabetic patients","https://scispace.com/paper/a-review-of-internet-of-medical-things-iomt-based-remote-4gp2cjexrz","2020","Journal Article","Indonesian Journal of Electrical Engineering and Computer Science","Omar AlShorman
Buthaynah Alshorman
Mahmood Al-khassaweneh
Fahad Salem AlKahtani","10.11591/IJEECS.V20.I1.PP414-422","https://scispace.com/pdf/a-review-of-internet-of-medical-things-iomt-based-remote-4gp2cjexrz.pdf","- **Relevance Score:** 26/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses IoMT wearables and CGM to detail remote monitoring challenges; offers a taxonomy of IoMT issues. Lacks AI/ML focus, retinal imaging, bias analysis, and dataset benchmarks.","The latest advances and trends in information technology and communication have a vital role in healthcare industries. Theses advancements led to the internet of medical things (IoMT) which provides a continuous, remote and real-time monitoring of patients. The IoMT architectures still face many challenges related to the bandwidth, communication protocols, big data and data volume, flexibility, reliability, data management, data acquisition, data processing and analytics availability, cost effectiveness, data security and privacy, and energy efficiency. The goal of this paper is to find feasible solutions to enhance the healthcare living facilities using remote health monitoring (RHM) and IoMT. In addition, the enhancement of the prevention, prognosis, diagnosis and treatment abilities using IoMT and RHM is also discussed. A case study of monitoring the vital signs of diabetic patients using real-time data processing and IoMT is also presented .","","",""
