"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"A multimodal imaging–based deep learning model for detecting treatment-requiring retinal vascular diseases: model development and validation study","https://scispace.com/paper/a-multimodal-imaging-based-deep-learning-model-for-detecting-53wjl2gzyc","2021","Journal Article","JMIR medical informatics","Eugene Yu-Chuan Kang
Ling Yeung
Yi-Lun Lee
Cheng-Hsiu Wu
Cheng-Hsiu Wu
Shu-Yen Peng
Shu-Yen Peng
Yueh-Peng Chen
Quan-Ze Gao
Chihung Lin
Chang-Fu Kuo
Chang-Fu Kuo
Chi-Chun Lai
Chi-Chun Lai","10.2196/28868","https://scispace.com/pdf/a-multimodal-imaging-based-deep-learning-model-for-detecting-53wjl2gzyc.pdf","… In ophthalmology, deep learning—an artificial intelligence technique—can … fundus images for identifying diabetic retinopathy, AMD, and glaucoma [7], a deep learning model using OCT …","Background: Retinal vascular diseases, including diabetic macular edema (DME), neovascular age-related macular degeneration (nAMD), myopic choroidal neovascularization (mCNV), and branch and central retinal vein occlusion (BRVO/CRVO), are considered vision-threatening eye diseases. However, accurate diagnosis depends on multimodal imaging and the expertise of retinal ophthalmologists.
Objective: The aim of this study was to develop a deep learning model to detect treatment-requiring retinal vascular diseases using multimodal imaging.
Methods: This retrospective study enrolled participants with multimodal ophthalmic imaging data from 3 hospitals in Taiwan from 2013 to 2019. Eye-related images were used, including those obtained through retinal fundus photography, optical coherence tomography (OCT), and fluorescein angiography with or without indocyanine green angiography (FA/ICGA). A deep learning model was constructed for detecting DME, nAMD, mCNV, BRVO, and CRVO and identifying treatment-requiring diseases. Model performance was evaluated and is presented as the area under the curve (AUC) for each receiver operating characteristic curve.
Results: A total of 2992 eyes of 2185 patients were studied, with 239, 1209, 1008, 211, 189, and 136 eyes in the control, DME, nAMD, mCNV, BRVO, and CRVO groups, respectively. Among them, 1898 eyes required treatment. The eyes were divided into training, validation, and testing groups in a 5:1:1 ratio. In total, 5117 retinal fundus photos, 9316 OCT images, and 20,922 FA/ICGA images were used. The AUCs for detecting mCNV, DME, nAMD, BRVO, and CRVO were 0.996, 0.995, 0.990, 0.959, and 0.988, respectively. The AUC for detecting treatment-requiring diseases was 0.969. From the heat maps, we observed that the model could identify retinal vascular diseases.
Conclusions: Our study developed a deep learning model to detect retinal diseases using multimodal ophthalmic imaging. Furthermore, the model demonstrated good performance in detecting treatment-requiring retinal diseases."
"Revolutionizing diabetic maculopathy detection with MobileNet, GAN-enhanced imaging, and Graph Neural Networks: A multimodal AI approach for precision …","https://scispace.com/paper/kJMEjAAAwtkJ","","","","NA Kumar
T Srinadh
I Ioannou","","","… fundus images, which may delay diagnosis and treatment. This study proposes a modified MobileNet deep learning … data and Optical Coherence Tomography (OCT) images. Synthetic …",""
"Graph-Aware Multimodal Deep Learning for Classification of Diabetic Retinopathy Images","https://scispace.com/paper/graph-aware-multimodal-deep-learning-for-classification-of-14ho47iu58rs","","Journal Article","IEEE Access","Amina Zedadra
Ouarda Zedadra
Mahmoud Yassine Salah-Salah
Antonio Guerrieri","10.1109/access.2025.3564529","https://ieeexplore.ieee.org/iel8/6287639/6514899/10976726.pdf","… Artificial Intelligence in medical imaging enhances diagnosis … ophthalmology such as diabetic retinopathy and glaucoma [1]… diabetic retinopathy stages from the Messidor dataset fundus …",""
"Leveraging multimodal deep learning architecture with retina lesion information to detect diabetic retinopathy","https://scispace.com/paper/leveraging-multimodal-deep-learning-architecture-with-retina-2g28c21pen","2020","Journal Article","Translational Vision Science & Technology","Vincent S. Tseng
Ching Long Chen
Chang Min Liang
Ming Cheng Tai
Jung Tzu Liu
Po Yi Wu
Ming Shan Deng
Ya Wen Lee
Teng Yi Huang
Yi-Hao Chen","10.1167/TVST.9.2.41","","… for diabetic retinopathy (DR). Methods: We used 26,699 fundus images of 17,834 diabetic … Thus, there is an urgent and critical need for an artificial intelligence–based approach to …","Purpose To improve disease severity classification from fundus images using a hybrid architecture with symptom awareness for diabetic retinopathy (DR). Methods We used 26,699 fundus images of 17,834 diabetic patients from three Taiwanese hospitals collected in 2007 to 2018 for DR severity classification. Thirty-seven ophthalmologists verified the images using lesion annotation and severity classification as the ground truth. Two deep learning fusion architectures were proposed: late fusion, which combines lesion and severity classification models in parallel using a postprocessing procedure, and two-stage early fusion, which combines lesion detection and classification models sequentially and mimics the decision-making process of ophthalmologists. Messidor-2 was used with 1748 images to evaluate and benchmark the performance of the architecture. The primary evaluation metrics were classification accuracy, weighted κ statistic, and area under the receiver operating characteristic curve (AUC). Results For hospital data, a hybrid architecture achieved a good detection rate, with accuracy and weighted κ of 84.29% and 84.01%, respectively, for five-class DR grading. It also classified the images of early stage DR more accurately than conventional algorithms. The Messidor-2 model achieved an AUC of 97.09% in referral DR detection compared to AUC of 85% to 99% for state-of-the-art algorithms that learned from a larger database. Conclusions Our hybrid architectures strengthened and extracted characteristics from DR images, while improving the performance of DR grading, thereby increasing the robustness and confidence of the architectures for general use. Translational Relevance The proposed fusion architectures can enable faster and more accurate diagnosis of various DR pathologies than that obtained in current manual clinical practice."
"Temporal Integrative Machine Learning for Early Detection of Diabetic Retinopathy Using Fundus Imaging and Electronic Health Records","https://scispace.com/paper/temporal-integrative-machine-learning-for-early-detection-of-rvv70hvmdkxe","2025","Journal Article","IEEE Journal of Biomedical and Health Informatics","Shvat Messica
Seffi Cohen
Aviel Hadad
Michal Gordon
Or Katz
Dan Presil
Noa Dagan
Erez Tsumi
Lior Rokach","10.1109/jbhi.2025.3578197","","… our temporal multi-modal model, with the retina images dataset … Artificial intelligence for diabetic retinopathy screening: a … of deep learning algorithms for diabetic retinopathy screening. …",""
"Single-modality and joint fusion deep learning for diabetic retinopathy diagnosis","https://scispace.com/paper/single-modality-and-joint-fusion-deep-learning-for-diabetic-src2d9mq","2022","Journal Article","Scientific African","Sara El-Ateif
Ali Idri","10.1016/j.sciaf.2022.e01280","","The current study evaluated and compared single-modality and joint fusion deep learning approaches for automatic binary classification of diabetic retinopathy (DR) using seven …",""
"Generation of a multimodal atlas of type 2 diabetes for artificial intelligence (ai-readi): Purpose and design","https://scispace.com/paper/WwDeZM-35V8J","","","","D Matthies
J Owen
G McGwin","","","… a dataset facilitating artificial intelligence/machine learning (AI/… impacted in T2DM, including retinal imaging, vision, cognition, … new insights into T2DM, including diabetic eye disease. …",""
"Machine Learning Prediction of Cardiovascular Risk in Type 1 Diabetes Mellitus Using Radiomics Features from Multimodal Retinal Images","https://scispace.com/paper/machine-learning-prediction-of-cardiovascular-risk-in-type-1-akgcqmg5r2by","2025","Journal Article","Ophthalmology science","Ariadna Toha-Dalmau
Josep Rosin'es-Fonoll
Enrique Romero
F. Mazzanti
Ruben Martín-Pinardel
Sonia Marias-Perez
Carolina Bernal-Morales
Rafael Castro-Domínguez
Andrea Mendez
Emilio Ortega
Irene Vinagre
Marga Giménez
Alfredo Vellido
Javier Zarranz-Ventura","10.48550/arxiv.2504.02868","https://scispace.compdf/machine-learning-prediction-of-cardiovascular-risk-in-type-1-akgcqmg5r2by.pdf","… a machine learning (ML) algorithm capable of determining cardiovascular (CV) risk in multimodal retinal images from patients with type 1 diabetes … from color fundus photographs (CFP), …","Purpose To develop a machine learning (ML) algorithm capable of determining cardiovascular (CV) risk in multimodal retinal images from patients with type 1 diabetes mellitus (T1DM), distinguishing between moderate, high, and very high-risk levels. Design Cross-sectional analysis of a retinal image data set from a previous prospective OCT angiography (OCTA) study (ClinicalTrials.gov NCT03422965). Participants Patients with T1DM included in the progenitor study. Methods Radiomic features were extracted from color fundus photographs (CFPs), OCT, and OCTA images, and ML models were trained using these features either individually or combined with clinical data (demographics and systemic data, OCT + OCTA commercial software metrics, ocular data, blood data). Different data combinations were tested to determine the CV risk stages, defined according to international classifications. Main Outcome Measures Area under the receiver operating characteristic curve mean and standard deviation for each ML model and each data combination. Results A data set of 597 eyes (359 individuals) was analyzed. Models trained only with the radiomic features achieved area under the curve (AUC) values of (0.79 ± 0.03) to identify moderate risk cases from high and very high-risk cases, and (0.73 ± 0.07) for distinguishing between high and very high-risk cases. The addition of clinical variables improved all AUC values, obtaining (0.99 ± 0.01) for identifying moderate cases, and (0.95 ± 0.02) for differentiating between high and very high-risk cases. For very high CV risk, radiomics combined with OCT + OCTA metrics and ocular data achieved an AUC of (0.89 ± 0.02) without systemic data input. The performance of the models was similar in unilateral and bilateral eye image data sets. Conclusions Radiomic features obtained from retinal images are helpful to discriminate and classify CV risk labels, differentiating risk categories. The addition of demographics and systemic data combined with ocular data differentiate high from very high CV risk cases, and interestingly OCT + OCTA metrics with ocular data identify very high CV risk cases without systemic data input. These results reflect the potential of this oculomics approach for CV risk assessment. Financial Disclosure(s) Proprietary or commercial disclosure may be found in the Footnotes and Disclosures at the end of this article."
"Multi-modal AI for multi-label retinal disease prediction using OCT and fundus images: A hybrid approach","https://scispace.com/paper/multi-modal-ai-for-multi-label-retinal-disease-prediction-1a55mhqmr0m2","2025","Journal Article","","A Zedadra
MY Salah-Salah
O Zedadra
A Guerrieri","10.3390/s25144492","","… multiple retinal diseases, including Diabetic Retinopathy (DR), … a deep learning model to generate ICGA images from fundus … in Artificial Intelligence (AI), particularly deep learning and …",""
"Diagnosis of Chronic Kidney Disease Using Retinal Imaging and Urine Dipstick Data: Multimodal Deep Learning Approach","https://scispace.com/paper/diagnosis-of-chronic-kidney-disease-using-retinal-imaging-vtci6z8gk5za","2025","Journal Article","JMIR medical informatics","Sehee Park","10.2196/55825","","… of artificial intelligence, particularly deep learning (DL), with … retinopathy findings in predicting eGFR decline, we examined fundus photographs of patients with diabetic retinopathy (…",""
